Designator,Mid X,Mid Y,Rotation,Layer
D1,80.9625,-55.40375,90.0,bottom
D10,84.1375,-93.50375,90.0,bottom
D11,100.80625,-93.50375,90.0,bottom
D12,122.2375,-101.44125,270.0,bottom
D13,80.9625,-112.55375,90.0,bottom
D14,84.1375,-112.55375,90.0,bottom
D15,100.80625,-112.55375,90.0,bottom
D16,80.9625,-131.60375,90.0,bottom
D17,84.1375,-131.60375,90.0,bottom
D18,100.80625,-131.60375,90.0,bottom
D19,122.2375,-139.54125,270.0,bottom
D2,84.1375,-55.40375,90.0,bottom
D20,100.0125,-150.65375,90.0,bottom
D21,103.1875,-150.65375,90.0,bottom
D3,100.80625,-55.40375,90.0,bottom
D4,122.2375,-55.40375,90.0,bottom
D5,80.9625,-74.45375,90.0,bottom
D6,84.1375,-74.45375,90.0,bottom
D7,100.80625,-74.45375,90.0,bottom
D8,122.2375,-74.45375,90.0,bottom
D9,80.9625,-93.50375,90.0,bottom
S1,73.025,-57.15,0.0,top
S10,92.075,-95.25,0.0,top
S11,111.125,-95.25,0.0,top
S12,130.175,-104.775,0.0,top
S13,73.025,-114.3,0.0,top
S14,92.075,-114.3,0.0,top
S15,111.125,-114.3,0.0,top
S16,73.025,-133.35,0.0,top
S17,92.075,-133.35,0.0,top
S18,111.125,-133.35,0.0,top
S19,130.175,-142.875,0.0,top
S2,92.075,-57.15,0.0,top
S20,82.55,-152.4,0.0,top
S21,111.125,-152.4,0.0,top
S3,111.125,-57.15,0.0,top
S4,130.175,-57.15,0.0,top
S5,73.025,-76.2,0.0,top
S6,92.075,-76.2,0.0,top
S7,111.125,-76.2,0.0,top
S8,130.175,-76.2,0.0,top
S9,73.025,-95.25,0.0,top
U1,111.28375,-61.765,0.0,bottom
